,Unnamed: 0,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,L110,L111,L112,L113,L114,L115,L116,L117,L118,L119,L120,L121,L122,L123,L124,L125,L126,L127,L128,L129,L130,L131,L132,L133,L134,L135,L136,L137,L138,L139,L140,L141,L142,L143,L144,L145,L146,L147,L148,L149,L150,L151,L152,L153,L154,L155,L156,L157,L158,L159,L160,L161,L162,L163,L164,L165,L166,L167,L168,L169,L170,L171,L172,L173,L174,L175,L176,L177,L178,L179,L180,L181,L182,L183,L184,L185,L186,L187,L188,L189,L190,L191,L192,L193,L194,L195,L196,L197,L198,L199,L200,L201,L202,L203,L204,L205,L206,L207,L208,L209,L210,L211,L212,L213,L214,L215,L216,L217,L218,L219,L220,L221,L222,L223,L224,L225,L226,L227,L228,L229,L230,L231,L232,L233,L234,L235,L236,L237,L238,L239,L240,L241,L242,L243,L244,L245,L246,L247,L248,L249,L250,L251,L252,L253,L254,L255,L256,L257,L258,L259,L260,L261,L262,L263,L264,L265,L266,L267,L268,L269,L270,L271,L272,L273,L274,L275,L276,L277,L278,L279,L280,L281,L282,L283,L284,L285,L286,L287,L288,L289,L290,L291,L292,L293,L294,L295,L296,L297,L298,L299,L300,L301,L302
193,195,squant,test2319.mp4,7,0,37,37.0,66.0,66.0,98.0,98.0,127.0,127.0,157.0,157.0,189.0,189.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,196,jump_jack,stu4_26.mp4,20,131,188,188.0,252.0,253.0,309.0,309.0,369.0,370.0,428.0,429.0,483.0,484.0,541.0,541.0,604.0,604.0,661.0,662.0,723.0,1052.0,1106.0,1106.0,1168.0,1168.0,1229.0,1229.0,1282.0,1282.0,1344.0,1344.0,1400.0,1400.0,1459.0,1460.0,1514.0,1515.0,1573.0,1573.0,1632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,198,pullups,test1448.mp4,7,9,38,38.0,68.0,68.0,97.0,97.0,123.0,123.0,154.0,154.0,178.0,178.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,199,battle_rope,stu5_1.mp4,17,48,60,60.0,72.0,72.0,84.0,84.0,96.0,96.0,107.0,107.0,121.0,121.0,132.0,132.0,143.0,143.0,152.0,152.0,166.0,166.0,177.0,177.0,187.0,187.0,201.0,201.0,214.0,214.0,225.0,225.0,235.0,235.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,200,pull_up,stu5_35.mp4,11,16,88,88.0,149.0,149.0,222.0,222.0,296.0,296.0,383.0,383.0,459.0,460.0,547.0,547.0,652.0,652.0,750.0,750.0,921.0,1007.0,1161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,201,squat,stu4_62.mp4,14,37,112,145.0,217.0,223.0,313.0,327.0,419.0,435.0,536.0,551.0,647.0,666.0,745.0,762.0,873.0,884.0,981.0,1000.0,1093.0,1113.0,1179.0,1198.0,1281.0,1289.0,1390.0,1406.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,202,pull_up,stu6_36.mp4,5,58,137,139.0,219.0,547.0,613.0,614.0,705.0,707.0,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,204,pull_up,stu9_42.mp4,30,183,221,221.0,251.0,251.0,282.0,282.0,313.0,313.0,344.0,344.0,372.0,372.0,402.0,402.0,431.0,431.0,461.0,461.0,491.0,491.0,520.0,520.0,549.0,549.0,576.0,577.0,607.0,607.0,634.0,634.0,663.0,663.0,692.0,692.0,723.0,723.0,751.0,752.0,784.0,784.0,816.0,816.0,848.0,848.0,881.0,881.0,915.0,915.0,952.0,952.0,991.0,991.0,1029.0,1029.0,1072.0,1072.0,1119.0,1179.0,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,210,others,stu1_28.mp4,11,28,45,94.0,114.0,147.0,170.0,216.0,239.0,268.0,287.0,356.0,379.0,406.0,427.0,465.0,487.0,585.0,609.0,654.0,678.0,716.0,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,211,jump_jack,stu8_30.mp4,58,7,35,35.0,63.0,63.0,91.0,91.0,117.0,117.0,142.0,142.0,171.0,171.0,197.0,197.0,225.0,225.0,252.0,252.0,279.0,279.0,308.0,308.0,335.0,335.0,361.0,361.0,388.0,388.0,415.0,415.0,440.0,440.0,467.0,467.0,497.0,497.0,522.0,522.0,549.0,549.0,576.0,576.0,603.0,603.0,629.0,629.0,653.0,653.0,682.0,682.0,711.0,711.0,738.0,738.0,767.0,767.0,792.0,792.0,819.0,819.0,847.0,847.0,874.0,874.0,900.0,900.0,928.0,928.0,955.0,955.0,980.0,980.0,1006.0,1006.0,1033.0,1033.0,1059.0,1059.0,1088.0,1088.0,1116.0,1116.0,1142.0,1142.0,1169.0,1169.0,1196.0,1196.0,1224.0,1224.0,1250.0,1250.0,1277.0,1277.0,1305.0,1305.0,1332.0,1332.0,1359.0,1359.0,1386.0,1386.0,1413.0,1413.0,1441.0,1441.0,1467.0,1467.0,1493.0,1493.0,1521.0,1521.0,1548.0,1548.0,1574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,213,squat,stu2_72.mp4,12,2,75,75.0,133.0,133.0,192.0,193.0,254.0,254.0,313.0,313.0,370.0,370.0,434.0,434.0,490.0,490.0,556.0,556.0,613.0,613.0,672.0,672.0,733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,217,pullups,test1465.mp4,6,8,47,47.0,85.0,85.0,132.0,132.0,171.0,171.0,213.0,213.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,218,pull_up,stu7_38.mp4,20,16,83,84.0,156.0,156.0,229.0,229.0,303.0,303.0,382.0,382.0,455.0,455.0,540.0,540.0,619.0,619.0,696.0,697.0,774.0,776.0,851.0,851.0,928.0,928.0,1016.0,1016.0,1094.0,1094.0,1182.0,1184.0,1261.0,1262.0,1354.0,1354.0,1465.0,1465.0,1581.0,1581.0,1827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,220,squant,train3944.mp4,2,5,89,106.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,221,jumpjacks,val568.mp4,55,1,8,9.0,12.0,12.0,17.0,17.0,22.0,22.0,29.0,29.0,35.0,36.0,41.0,41.0,45.0,45.0,50.0,50.0,55.0,55.0,60.0,60.0,66.0,66.0,72.0,72.0,77.0,77.0,82.0,82.0,87.0,87.0,92.0,92.0,97.0,97.0,102.0,102.0,107.0,107.0,112.0,112.0,117.0,117.0,123.0,123.0,128.0,129.0,133.0,134.0,138.0,139.0,144.0,144.0,149.0,149.0,154.0,154.0,160.0,160.0,166.0,166.0,171.0,171.0,175.0,176.0,181.0,181.0,187.0,187.0,192.0,192.0,198.0,198.0,204.0,204.0,209.0,209.0,214.0,214.0,219.0,219.0,224.0,225.0,229.0,229.0,235.0,235.0,241.0,241.0,245.0,246.0,251.0,251.0,256.0,256.0,262.0,262.0,267.0,267.0,272.0,272.0,278.0,278.0,283.0,284.0,289.0,289.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,224,pull_up,stu3_34.mp4,5,166,401,401.0,496.0,687.0,937.0,938.0,1043.0,1406.0,1467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,228,pull_up,stu9_38.mp4,5,46,126,126.0,219.0,220.0,319.0,348.0,421.0,421.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,229,pull_up,stu8_39.mp4,16,1,22,22.0,48.0,48.0,73.0,73.0,123.0,123.0,159.0,159.0,200.0,200.0,240.0,240.0,294.0,294.0,336.0,336.0,379.0,379.0,423.0,423.0,481.0,481.0,534.0,534.0,584.0,584.0,638.0,638.0,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,230,jumpjacks,val578.mp4,2,5,60,60.0,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,233,squat,stu2_69.mp4,21,468,568,568.0,636.0,636.0,710.0,710.0,770.0,770.0,837.0,837.0,899.0,899.0,965.0,965.0,1031.0,1032.0,1087.0,1087.0,1156.0,1156.0,1221.0,1221.0,1276.0,1276.0,1338.0,1338.0,1408.0,1409.0,1475.0,1475.0,1533.0,1533.0,1604.0,1604.0,1669.0,1669.0,1728.0,1729.0,1782.0,1782.0,1845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,235,jump_jack,stu2_32.mp4,98,5,20,20.0,35.0,35.0,48.0,48.0,61.0,61.0,75.0,75.0,86.0,86.0,99.0,99.0,112.0,112.0,124.0,124.0,137.0,137.0,150.0,150.0,163.0,163.0,176.0,176.0,188.0,188.0,201.0,201.0,212.0,212.0,226.0,226.0,239.0,239.0,251.0,251.0,264.0,264.0,276.0,276.0,290.0,290.0,301.0,301.0,313.0,313.0,326.0,326.0,338.0,338.0,352.0,352.0,365.0,365.0,378.0,378.0,391.0,391.0,402.0,402.0,416.0,416.0,428.0,428.0,441.0,441.0,453.0,453.0,467.0,467.0,479.0,479.0,492.0,492.0,505.0,505.0,518.0,518.0,532.0,532.0,544.0,544.0,557.0,557.0,570.0,570.0,582.0,582.0,596.0,596.0,608.0,608.0,620.0,620.0,634.0,634.0,646.0,646.0,666.0,666.0,678.0,678.0,690.0,690.0,704.0,704.0,717.0,717.0,729.0,729.0,742.0,742.0,753.0,753.0,767.0,767.0,779.0,779.0,792.0,792.0,804.0,804.0,816.0,816.0,828.0,828.0,843.0,843.0,854.0,854.0,867.0,867.0,880.0,880.0,891.0,891.0,905.0,905.0,918.0,918.0,930.0,930.0,942.0,942.0,954.0,954.0,968.0,968.0,980.0,980.0,993.0,993.0,1005.0,1005.0,1018.0,1018.0,1032.0,1032.0,1044.0,1044.0,1055.0,1055.0,1068.0,1068.0,1081.0,1081.0,1093.0,1093.0,1106.0,1106.0,1117.0,1117.0,1130.0,1130.0,1142.0,1142.0,1155.0,1155.0,1169.0,1169.0,1180.0,1180.0,1192.0,1192.0,1205.0,1205.0,1217.0,1217.0,1229.0,1229.0,1242.0,1242.0,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,236,squant,val1250.mp4,4,3,40,40.0,102.0,102.0,184.0,184.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,237,push_up,stu1_51.mp4,40,23,80,80.0,143.0,143.0,209.0,209.0,262.0,262.0,328.0,328.0,403.0,403.0,475.0,475.0,520.0,520.0,543.0,543.0,574.0,574.0,600.0,600.0,624.0,624.0,652.0,652.0,681.0,681.0,712.0,712.0,734.0,882.0,939.0,939.0,1003.0,1003.0,1069.0,1069.0,1157.0,1157.0,1221.0,1247.0,1282.0,1282.0,1308.0,1308.0,1338.0,1338.0,1364.0,1364.0,1396.0,1396.0,1422.0,1422.0,1448.0,1448.0,1475.0,1475.0,1505.0,1505.0,1528.0,1528.0,1556.0,1556.0,1586.0,1586.0,1613.0,1613.0,1638.0,1638.0,1668.0,1668.0,1698.0,1698.0,1723.0,1723.0,1750.0,1750.0,1780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,240,squat,stu5_64.mp4,20,29,57,57.0,83.0,83.0,111.0,111.0,137.0,137.0,163.0,163.0,191.0,191.0,215.0,215.0,242.0,242.0,273.0,273.0,299.0,299.0,324.0,324.0,350.0,350.0,382.0,382.0,408.0,408.0,436.0,436.0,463.0,463.0,491.0,491.0,520.0,520.0,548.0,548.0,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,242,jump_jack,stu3_23.mp4,38,42,70,70.0,91.0,91.0,111.0,111.0,132.0,132.0,154.0,154.0,173.0,173.0,194.0,194.0,214.0,214.0,235.0,235.0,256.0,256.0,277.0,277.0,298.0,298.0,318.0,318.0,338.0,338.0,359.0,359.0,380.0,380.0,400.0,400.0,421.0,421.0,440.0,440.0,461.0,461.0,481.0,481.0,502.0,503.0,522.0,522.0,542.0,542.0,563.0,563.0,584.0,584.0,603.0,604.0,624.0,624.0,644.0,644.0,665.0,665.0,685.0,685.0,706.0,706.0,726.0,726.0,747.0,747.0,767.0,767.0,787.0,787.0,808.0,808.0,828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,244,squat,stu1_71.mp4,4,177,278,278.0,429.0,429.0,587.0,657.0,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,245,battle_rope,stu10_0.mp4,23,11,25,25.0,36.0,36.0,46.0,46.0,55.0,55.0,64.0,64.0,73.0,73.0,84.0,84.0,94.0,94.0,104.0,104.0,113.0,113.0,121.0,121.0,132.0,132.0,142.0,142.0,152.0,152.0,163.0,163.0,172.0,172.0,183.0,183.0,192.0,192.0,202.0,202.0,212.0,212.0,221.0,222.0,227.0,227.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,246,push_up,stu4_42.mp4,50,228,249,250.0,262.0,262.0,280.0,280.0,292.0,292.0,307.0,307.0,318.0,318.0,332.0,332.0,352.0,352.0,368.0,368.0,384.0,384.0,399.0,399.0,415.0,415.0,429.0,430.0,444.0,445.0,457.0,457.0,472.0,472.0,488.0,488.0,500.0,501.0,514.0,514.0,528.0,529.0,542.0,543.0,557.0,557.0,570.0,570.0,585.0,585.0,599.0,599.0,616.0,616.0,630.0,630.0,644.0,644.0,658.0,658.0,674.0,674.0,689.0,689.0,703.0,703.0,720.0,720.0,735.0,735.0,749.0,749.0,764.0,764.0,779.0,779.0,795.0,795.0,810.0,810.0,825.0,826.0,842.0,842.0,856.0,857.0,869.0,869.0,886.0,886.0,900.0,901.0,916.0,917.0,931.0,931.0,947.0,981.0,1000.0,1000.0,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
